JKCategories:        JKCategories(iOS-Categories,Category), a collection of useful Objective-C Categories extending iOS Frameworks such as Foundation,UIKit,CoreData,QuartzCore,CoreLocation,MapKit Etc.
LayoutKit:        LayoutKit is a fast view layout library for iOS, macOS, and tvOS.
cordova-android:        Apache Cordova Android
WordPress-iOS:        WordPress for iOS - Official repository
ChatSecure-iOS:        ChatSecure is a free and open source encrypted chat client for iOS that supports OTR and OMEMO encryption over XMPP.
JGProgressHUD:        An elegant and simple progress HUD for iOS and tvOS, compatible with Swift and ObjC.
xmake:        🔥 A cross-platform build utility based on Lua
ClangFormat-Xcode:        Xcode plug-in to to use clang-format from in Xcode and consistently format your code with Clang
TYAttributedLabel:        TYAttributedLabel 简单，强大的属性文本控件(无需了解CoreText)，支持图文混排显示，支持添加链接，image和UIView控件，支持自定义排版显示
clang:        Mirror kept for legacy. Moved to https://github.com/llvm/llvm-project
eigen:        The Art World in Your Pocket or Your Trendy Tech Company's Tote, Artsy's iOS app.
Harpy:        Notify users when a new version of your app is available and prompt them to upgrade.
LNPopupController:        LNPopupController is a framework for presenting view controllers as popups of other view controllers, much like the Apple Music and Podcasts apps.
Ono:        A sensible way to deal with XML & HTML for iOS & macOS
NYXImagesKit:        A set of efficient categories for UIImage class. It allows filtering, resizing, masking, rotating, enhancing... and more.
